Time(s)	PatientWeight(g)	HeartRate(1/min)	HeartStrokeVolume(mL)	BloodVolume(mL)	ExtravascularFluidVolume(mL)	ArterialPressure(mmHg)	MeanArterialPressure(mmHg)	SystolicArterialPressure(mmHg)	DiastolicArterialPressure(mmHg)	CardiacOutput(mL/min)	HemoglobinContent(g)	CentralVenousPressure(mmHg)	PulmonaryCapillariesWedgePressure(mmHg)	RespirationRate(1/min)	OxygenSaturation	CarbonDioxideSaturation	TidalVolume(mL)	TotalLungVolume(mL)	EndTidalCarbonDioxideFraction	TotalAlveolarVentilation(L/min)	TranspulmonaryPressure(cmH2O)	RespiratoryQuotient	CoreTemperature(degC)	SkinTemperature(degC)	GlomerularFiltrationRate(mL/day)	RenalBloodFlow(mL/min)	UrineProductionRate(mL/min)	LeftAfferentArterioleResistance(mmHg_min/mL)	RightAfferentArterioleResistance(mmHg_min/mL)	OxygenConsumptionRate(mL/min)	CarbonDioxideProductionRate(mL/min)	Aorta-Vascular-Oxygen-PartialPressure(mmHg)	Aorta-Vascular-CarbonDioxide-PartialPressure(mmHg)	VenaCava-Vascular-Oxygen-PartialPressure(mmHg)	VenaCava-Vascular-CarbonDioxide-PartialPressure(mmHg)	LeftAlveoli-Pulmonary-Pressure(cmH2O)	LeftAlveoli-Pulmonary-Oxygen-PartialPressure(mmHg)	LeftAlveoli-Pulmonary-CarbonDioxide-PartialPressure(mmHg)	RightAlveoli-Pulmonary-Pressure(cmH2O)	RightAlveoli-Pulmonary-Oxygen-PartialPressure(mmHg)	RightAlveoli-Pulmonary-CarbonDioxide-PartialPressure(mmHg)	Trachea-Pulmonary-Oxygen-PartialPressure(cmH2O)	Trachea-Pulmonary-CarbonDioxide-PartialPressure(cmH2O)	RightTubules-Urine-Sodium-Concentration(mg/mL)	RightTubules-Urine-Albumin-Concentration(mg/mL)	LeftTubules-Urine-Sodium-Concentration(mg/mL)	LeftTubules-Urine-Albumin-Concentration(mg/mL)	Oxygen-AlveolarTransfer(mL/s)	CarbonDioxide-AlveolarTransfer(mL/s)	NeuromuscularBlockLevel	SedationLevel	Brain-Tissue-Propofol-ExtravascularConcentration(ug/mL)	Brain-Vascular-Propofol-Concentration(ug/mL)	Fat-Tissue-Propofol-ExtravascularConcentration(ug/mL)	Fat-Vascular-Propofol-Concentration(ug/mL)	LeftKidney-Tissue-Propofol-ExtravascularConcentration(ug/mL)	LeftKidney-Vascular-Propofol-Concentration(ug/mL)	RightKidney-Tissue-Propofol-ExtravascularConcentration(ug/mL)	RightKidney-Vascular-Propofol-Concentration(ug/mL)	Liver-Tissue-Propofol-ExtravascularConcentration(ug/mL)	Liver-Vascular-Propofol-Concentration(ug/mL)	Propofol-MassInBody(ug)	Propofol-PlasmaConcentration(ug/mL)	Propofol-RemainingSystemicMassCleared(ug)	Propofol-Kidneys-PartitionCoefficient	Propofol-Brain-PartitionCoefficient	Propofol-RightLung-PartitionCoefficient	Propofol-LeftLung-PartitionCoefficient	Propofol-Liver-PartitionCoefficient	Propofol-Bone-PartitionCoefficient	Propofol-Fat-PartitionCoefficient	Propofol-Skin-PartitionCoefficient	Propofol-Muscle-PartitionCoefficient	Propofol-Spleen-PartitionCoefficient	Propofol-Gut-PartitionCoefficient	Propofol-Myocardium-PartitionCoefficient	Propofol-Liver-MassCleared(ug)	Propofol-Liver-MassExcreted(ug)	Propofol-Kidneys-MassCleared(ug)	Propofol-Kidneys-MassExcreted(ug)	
0	78467.8	72.973	77.3516	5090.28	34138	79.2856	87.4784	106.281	63.5213	5644.58	738.158	5.42805	6.30603	15.9763	0.968221	0.274545	534.977	2407.76	0.0349156	6.20183	11.5024	0.835988	37.0316	33.0152	172009	811.804	1.05951	0.0400333	0.0400333	226.582	189.42	89.9091	40.4817	42.3728	42.7941	1033.34	115.963	40.8508	1033.34	109.63	41.2569	176.486	36.0641	2.59191	0	2.59191	0	4.05194	-3.54997	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1.01111	78467.8	72	77.5479	5090.28	34138	69.4211	87.1917	106.347	63.5752	5583.45	738.158	5.36513	6.30819	16.1194	0.968408	0.274708	543.257	2381.44	0.0350967	6.35308	11.2918	0.834899	37.0318	33.0152	135275	649.299	0.856395	0.0400333	0.0400333	225.363	188.155	89.2332	40.5722	42.3131	42.8112	1032.6	114.842	41.4219	1032.6	108.471	41.7566	187.123	26.5608	2.5912	0	2.5912	0	-0.566281	-1.96753	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2.02222	78467.8	72.973	77.6807	5090.3	34138	90.6208	87.8239	106.805	64.0917	5668.59	738.158	5.38447	6.31204	16.1194	0.968577	0.280763	543.257	2874.97	0.0350967	6.35308	16.1104	0.846828	37.0319	33.0153	114784	1412.81	0.673068	0.0400333	0.0400333	239.551	202.858	91.4823	42.6767	42.3696	42.8808	1032.91	117.793	39.4573	1032.91	111.553	40.0451	216.923	0.413674	2.5909	0	2.5909	0	7.35442	-7.62176	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3.03333	78467.8	72.973	77.4906	5090.3	34138	105.969	87.8167	106.808	64.0847	5654.72	738.158	5.44915	6.30401	16.1194	0.96808	0.27465	543.257	2513.14	0.0350967	6.35308	12.5184	0.84158	37.0321	33.0154	190621	1867.13	0.984882	0.0400333	0.0400333	233.101	196.173	90.2326	40.5082	42.3642	42.8814	1033.61	116.768	40.4989	1033.61	110.469	40.9962	182.035	31.2791	2.59089	0	2.59089	0	6.67469	-3.14075	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4.04444	78467.8	72.973	77.3977	5090.26	34138	90.3974	87.7656	106.719	64.0687	5647.94	738.158	5.49264	6.30046	16.1194	0.968142	0.273931	543.257	2388.91	0.0350967	6.35308	11.3207	0.837174	37.0322	33.0154	199773	1129.31	1.14404	0.0400333	0.0400333	227.951	190.835	90.0086	40.3031	42.388	42.8096	1033.29	115.548	41.2228	1033.29	109.189	41.6085	175.687	36.7165	2.59088	0	2.59088	0	0.709174	-0.286197	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
5.05556	78467.8	72.973	77.3459	5090.23	34138	76.4481	87.7268	106.646	64.0583	5644.16	738.158	5.41135	6.29708	15.9763	0.968267	0.274467	534.165	2576.7	0.0349088	6.19235	13.2301	0.835624	37.0324	33.0155	162496	752.983	1.0099	0.0400333	0.0400333	226.197	189.016	89.7682	40.4883	42.3078	42.8031	1032.22	115.549	40.5983	1032.22	109.21	41.0188	216.47	0.70771	2.58999	0	2.58999	0	1.50187	-7.43907	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
6.06667	78467.8	72.973	77.2877	5090.23	34138	66.8518	87.6895	106.58	64.0461	5639.92	738.158	5.35507	6.29322	15.9763	0.968234	0.275206	534.165	2868.09	0.0349088	6.19235	15.9667	0.834564	37.0326	33.0156	124254	620.79	0.795064	0.0400333	0.0400333	225.014	187.788	89.6822	40.6847	42.3231	42.8197	1034.11	117.93	39.646	1034.11	111.659	40.2188	207.336	9.13622	2.58935	0	2.58935	0	0.0892799	-2.21317	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
7.07778	78467.8	72	77.2609	5090.26	34138	98.9284	87.112	106.209	63.494	5562.78	738.158	5.39713	6.29435	15.9763	0.968376	0.277173	534.165	2452.84	0.0349088	6.19235	11.937	0.846377	37.0327	33.0156	124451	1809.34	0.708597	0.0400333	0.0400333	239.008	202.29	90.1383	41.4006	42.3711	42.8846	1033.46	116.624	40.6029	1033.46	110.316	41.0791	178.66	34.1783	2.58915	0	2.58915	0	8.69697	-4.58222	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
8.08889	78467.8	72.973	77.461	5090.25	34138	104.626	87.475	106.29	63.9357	5652.56	738.158	5.46258	6.31028	15.9763	0.968344	0.274346	534.165	2377.94	0.0349088	6.19235	11.2148	0.840876	37.0329	33.0157	199041	1758.32	1.02424	0.0400333	0.0400333	232.288	195.326	89.0055	40.4544	42.32	42.8856	1033.27	115.142	41.4201	1033.27	108.768	41.789	175	37.3005	2.58917	0	2.58917	0	5.41647	-1.27777	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
9.1	78467.8	72.973	77.5067	5090.21	34138	87.3209	87.7341	106.676	64.0518	5655.9	738.158	5.47789	6.3021	16.1194	0.968033	0.274154	544.417	2749.69	0.0351097	6.36673	14.902	0.836766	37.033	33.0157	193296	1022.75	1.1595	0.0400333	0.0400333	227.511	190.373	90.486	40.3617	42.3477	42.7984	1032.6	116.845	39.8825	1032.6	110.546	40.4054	216.862	0.41996	2.58896	0	2.58896	0	4.32573	3.12227	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
10.1111	78467.8	72.973	77.3566	5090.19	34138.1	74.3753	87.7328	106.676	64.0518	5644.94	738.158	5.39805	6.29679	16.1194	0.96811	0.274978	544.417	2666.4	0.0351097	6.36673	13.9962	0.835354	37.0332	33.0158	154890	717.299	0.969179	0.0400333	0.0400333	225.918	188.721	89.7379	40.5934	42.3801	42.8105	1034	117.347	40.0474	1034	111.043	40.5708	191.03	23.4854	2.58808	0	2.58808	0	0.293348	-3.57795	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
11.1222	78467.8	72.973	77.2918	5090.2	34138	65.4002	87.7001	106.617	64.0423	5640.22	738.158	5.35575	6.29402	16.1194	0.968093	0.275214	544.417	2415.04	0.0351097	6.36673	11.5727	0.83434	37.0333	33.0159	118719	606.906	0.735777	0.0400333	0.0400333	224.789	187.55	90.1753	40.6943	42.3379	42.8903	1033.36	116.211	40.8429	1033.36	109.875	41.2719	176.92	35.6419	2.58749	0	2.58749	0	0.521792	-0.932918	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
12.1333	78467.8	72.973	77.2055	5090.22	34138	105.4	87.644	106.517	64.025	5633.92	738.158	5.42115	6.28852	16.1194	0.968323	0.274873	544.417	2371.35	0.0351097	6.36673	11.1512	0.84408	37.0335	33.0159	153386	2024.68	0.828824	0.0400333	0.0400333	236.179	199.354	89.4073	40.6382	42.3448	42.8886	1033.25	114.832	41.5952	1033.25	108.442	41.9419	174.798	37.4428	2.58744	0	2.58744	0	9.07657	-2.93562	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
13.1444	78467.8	72	77.1601	5090.2	34138	101.059	87.2955	106.471	63.5778	5555.53	738.158	5.4802	6.27909	15.9763	0.968103	0.274175	534.296	2858.48	0.0349145	6.19388	15.9535	0.839871	37.0337	33.016	204556	1584.35	1.05272	0.0400333	0.0400333	231.126	194.116	89.4987	40.3541	42.3366	42.8894	1032.83	117.411	39.6105	1032.83	111.131	40.1895	216.91	0.413824	2.58745	0	2.58745	0	3.98141	-5.97122	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
14.1556	78467.8	72.973	77.2082	5090.17	34138.1	84.268	87.4077	106.182	63.5038	5634.11	738.158	5.46123	6.29796	15.9763	0.967932	0.274614	534.296	2544.8	0.0349145	6.19388	12.8231	0.836402	37.0338	33.0161	185877	936.596	1.1335	0.0400333	0.0400333	227.122	189.965	90.4154	40.4636	42.2803	42.8002	1033.7	116.975	40.2256	1033.7	110.659	40.717	183.502	30.0106	2.58702	0	2.58702	0	8.2773	2.93042	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
15.1667	78467.8	72	77.4339	5090.15	34138.1	72.4589	87.1396	106.279	63.9214	5575.24	738.158	5.38586	6.30246	15.9763	0.968138	0.274803	534.296	2393.77	0.0349145	6.19388	11.3675	0.835104	37.034	33.0161	147502	688.178	0.929198	0.0400333	0.0400333	225.663	188.452	89.7677	40.5716	42.3342	42.8175	1033.31	115.715	41.0473	1033.31	109.347	41.4422	175.714	36.6708	2.5862	0	2.5862	0	0.384836	-2.31911	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
16.1778	78467.8	72.973	77.4975	5090.17	34138.1	64.0531	87.7202	106.647	64.0505	5655.22	738.158	5.36679	6.30237	16.1194	0.968195	0.274961	544.926	2518.02	0.0351193	6.37273	12.6575	0.83414	37.0341	33.0162	113682	595.178	0.673997	0.0400333	0.0400333	224.592	187.341	89.6233	40.6545	42.3413	42.8926	1032.18	115.422	40.8631	1032.18	109.067	41.2706	215.523	1.53275	2.58572	0	2.58572	0	2.75877	-5.45977	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
17.1889	78467.8	72.973	77.2794	5090.18	34138.1	106.534	87.7049	106.634	64.0424	5639.31	738.158	5.43138	6.29376	16.1194	0.968052	0.274897	544.926	2897.52	0.0351193	6.37273	16.2806	0.842882	37.0343	33.0162	169459	2005.94	0.896578	0.0400333	0.0400333	234.742	197.86	89.6046	40.5779	42.3276	42.8923	1033.71	117.722	39.6729	1033.71	111.441	40.2632	214.399	2.77208	2.58567	0	2.58567	0	8.30949	-6.28296	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
18.2	78467.8	72.973	77.2513	5090.15	34138.1	96.0239	87.6816	106.587	64.0374	5637.26	738.158	5.49702	6.29193	16.1194	0.96798	0.273965	544.926	2466.92	0.0351193	6.37273	12.073	0.837953	37.0344	33.0163	207352	1360.63	1.07388	0.0400333	0.0400333	228.917	191.822	89.7326	40.2719	42.3868	42.8932	1033.49	116.425	40.6813	1033.49	110.086	41.1475	179.509	33.4047	2.58575	0	2.58575	0	1.52381	-0.935112	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
19.2111	78467.8	72.973	77.2186	5090.11	34138.1	80.1819	87.6601	106.547	64.0317	5634.87	738.158	5.43703	6.28966	16.1194	0.967951	0.274357	544.926	2380.76	0.0351193	6.37273	11.242	0.835903	37.0346	33.0164	174710	829.489	1.08029	0.0400333	0.0400333	226.582	189.401	90.8517	40.4453	42.246	42.8082	1033.27	115.185	41.2307	1033.27	108.796	41.5839	175.213	37.0677	2.58504	0	2.58504	0	5.2285	-2.80332	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
20.2222	78467.8	72.973	77.1801	5090.11	34138.1	69.4682	87.6364	106.506	64.0236	5632.06	738.158	5.37139	6.28722	15.9763	0.968293	0.274804	534.253	2705.3	0.0349183	6.19338	14.4754	0.834731	37.0348	33.0165	135307	649.441	0.861194	0.0400333	0.0400333	225.27	188.04	89.0907	40.5943	42.3113	42.826	1032.46	116.508	40.0243	1032.46	110.179	40.5256	216.827	0.430395	2.58431	0	2.58431	0	0.208646	-6.73686	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
21.2333	78467.8	72	77.1038	5090.14	34138.1	85.5904	87.2681	106.429	63.568	5551.47	738.158	5.38429	6.2759	15.9763	0.968808	0.283073	534.253	2731.75	0.0349183	6.19338	14.6278	0.84607	37.0349	33.0165	110321	1218.95	0.655447	0.0400333	0.0400333	238.697	201.954	90.1993	43.4602	42.3604	42.8955	1034.14	117.692	39.8553	1034.14	111.388	40.4162	195.031	20.0049	2.58399	0	2.58399	0	6.45672	-4.59056	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
22.2444	78467.8	72.973	77.1612	5090.15	34138.1	106.055	87.3856	106.15	63.4967	5630.69	738.158	5.44275	6.29536	15.9763	0.96822	0.27457	534.253	2425.04	0.0349183	6.19338	11.669	0.841919	37.0351	33.0166	181491	1928.86	0.946633	0.0400333	0.0400333	233.606	196.678	88.8986	40.4959	42.3774	42.896	1033.39	116.105	40.8702	1033.39	109.755	41.3218	177.193	35.3878	2.58394	0	2.58394	0	7.80309	-2.92541	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
23.2556	78467.8	72	77.3965	5090.12	34138.1	92.5451	87.1233	106.256	63.9149	5572.55	738.158	5.50012	6.30045	15.9763	0.968207	0.273822	534.253	2372.96	0.0349183	6.19338	11.1667	0.837282	37.0352	33.0166	203955	1212.8	1.10903	0.0400333	0.0400333	228.171	191.043	88.8081	40.2674	42.3088	42.8497	1033.26	114.871	41.5172	1033.26	108.456	41.8628	174.677	37.524	2.58399	0	2.58399	0	0.720092	-0.0970801	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
24.2667	78467.8	72.973	77.4694	5090.09	34138.1	77.9041	87.7094	106.634	64.0461	5653.17	738.158	5.4198	6.30096	16.1677	0.968021	0.274604	545.341	2830.32	0.0351414	6.39669	15.6801	0.835607	37.0354	33.0167	167426	780.184	1.04215	0.0400333	0.0400333	226.273	189.075	89.9651	40.5017	42.2532	42.8156	1032.79	117.267	39.5757	1032.79	110.962	40.1286	216.902	0.414391	2.58311	0	2.58311	0	2.01326	-8.00732	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
25.2778	78467.8	72.973	77.3317	5090.09	34138.1	67.8844	87.7332	106.688	64.0509	5643.12	738.158	5.35911	6.29504	16.1677	0.968037	0.275276	545.341	2568.19	0.0351414	6.39669	13.0488	0.834505	37.0355	33.0168	128598	631.344	0.823788	0.0400333	0.0400333	225.043	187.799	89.6758	40.6882	42.2906	42.8327	1033.76	117.122	40.2317	1033.76	110.788	40.7398	184.978	28.679	2.58243	0	2.58243	0	-0.21328	-1.56573	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
26.2889	78467.8	72.973	77.2471	5090.11	34138.1	99.2086	87.6855	106.596	64.0396	5636.95	738.158	5.39963	6.29195	16.1677	0.968387	0.277015	545.341	2398.34	0.0351414	6.39669	11.4116	0.846239	37.0357	33.0168	126151	1805.53	0.721583	0.0400333	0.0400333	238.935	202.196	89.5443	41.3743	42.3018	42.8992	1033.32	115.83	41.0621	1033.32	109.456	41.4803	176.025	36.3606	2.58223	0	2.58223	0	8.30261	-4.08166	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
27.3	78467.8	72.973	77.2202	5090.1	34138.1	104.498	87.6676	106.56	64.0358	5634.99	738.158	5.46471	6.29	15.9763	0.968193	0.274448	534.879	2448.55	0.0349329	6.20069	11.977	0.840728	37.0359	33.0169	198522	1754.85	1.02667	0.0400333	0.0400333	232.209	195.225	89.1679	40.4772	42.2869	42.9	1032.17	114.673	41.3348	1032.17	108.269	41.7044	210.692	5.76506	2.58225	0	2.58225	0	5.54342	-3.28779	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
28.3111	78467.8	72.973	77.1862	5090.06	34138.2	87.2519	87.6465	106.522	64.0292	5632.5	738.158	5.48125	6.28778	15.9763	0.967917	0.274487	534.879	2907.58	0.0349329	6.20069	16.4266	0.836612	37.036	33.017	192867	1022.76	1.1611	0.0400333	0.0400333	227.43	190.271	90.0399	40.4257	42.2548	42.8127	1032.96	117.688	39.4825	1032.96	111.396	40.0679	216.933	0.413443	2.58206	0	2.58206	0	4.64213	4.54439	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
29.3222	78467.8	72.973	77.1498	5090.04	34138.2	74.3277	87.6237	106.483	64.0208	5629.85	738.158	5.40138	6.2855	15.9763	0.968037	0.275057	534.879	2485.67	0.0349329	6.20069	12.2534	0.835201	37.0362	33.017	154598	717.074	0.971857	0.0400333	0.0400333	225.841	188.623	89.5408	40.6105	42.2174	42.8245	1033.54	116.624	40.4646	1033.54	110.269	40.9372	180.25	32.756	2.5812	0	2.5812	0	0.117147	-3.22543	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
30.3333	78467.8	72	77.1142	5090.07	34138.1	60.9858	87.2806	106.447	63.5754	5552.22	738.158	5.39578	6.27669	15.9763	0.966977	0.275236	534.879	2383.67	0.0349329	6.20069	11.2701	0.832312	37.0363	33.0171	109112	488.159	0.706975	0.0400333	0.0400333	222.649	185.314	87.4905	40.6992	42.2658	42.8553	1033.28	115.533	41.1832	1033.28	109.133	41.5664	175.165	37.09	2.58082	0	2.58082	0	-0.0318301	-0.91865	0	0.939628	0	0	0	0	0	0	0	0	0	0	33324.4	11.9049	8.89489	160.384	420.469	39.2659	39.2659	263.243	460.244	595.546	200.649	161.796	165.691	333.623	104.854	0	0	0	nan
31.3444	78467.8	70.1299	82.6019	5090.3	34137.9	86.1442	75.5822	97.698	52.3888	5792.86	738.158	5.6186	6.28129	15.9763	0.966658	0.276862	534.879	2361.32	0.0349329	6.20069	11.0543	0.843638	37.0365	33.0173	84471.1	1614.5	0.499163	0.0400333	0.0400333	235.738	198.878	88.4036	41.2899	42.2203	42.9157	1033.23	114.295	41.7981	1033.23	107.848	42.1079	174.1	37.9881	2.58119	0	2.58119	0	8.34101	-3.37707	0	0.984296	4.02692e-06	0.00604686	6.18761e-08	0.00052857	0	0.0127641	0	0.0127641	3.06845e-07	0.000320989	134309	47.9411	135.447	160.384	420.469	39.2659	39.2659	263.243	460.244	595.546	200.649	161.797	165.691	333.623	104.855	2.15985e-10	1.40256e-09	0	nan
32.3556	78467.8	65.0602	85.2122	5090.73	34137.5	85.9363	69.0727	90.9704	48.0396	5543.92	738.158	5.86033	6.27962	15.9763	0.966048	0.275059	534.879	2361.25	0.0349329	6.20069	11.0537	0.840953	37.0366	33.0176	105055	1668.47	0.568116	0.0400333	0.0400333	232.506	195.527	86.868	40.5311	42.1693	42.9086	1033.23	113.007	42.27	1033.23	106.501	42.5123	174.097	37.9904	2.5812	0	2.5812	0	9.21812	-1.90792	0	0.989323	0.00107437	0.284731	1.66444e-05	0.0254306	0	0.308907	0	0.308907	0.000120191	0.0161701	199614	70.8776	386.379	160.384	420.468	39.2659	39.2659	263.242	460.243	595.546	200.649	161.796	165.691	333.623	104.854	1.61167e-06	9.62337e-06	0	nan
33.3667	78467.8	60	87.6253	5091.38	34136.8	81.9636	63.8001	85.9363	44.544	5257.52	738.158	6.09493	6.32442	15.9763	0.964933	0.276043	534.879	2361.25	0.0349329	6.20069	11.0537	0.840888	37.0367	33.0178	92269.3	1611	0.513104	0.0400333	0.0400333	232.436	195.452	85.7868	40.6863	42.1468	42.9007	1033.23	111.873	42.5673	1033.23	105.304	42.7567	174.097	37.9904	2.58086	0	2.58086	0	9.69994	-1.60891	0	0.989185	0.0127997	1.72285	0.000171142	0.153359	0	1.4535	0	1.4535	0.00155444	0.108081	199359	69.9615	640.911	160.384	420.468	39.2659	39.2659	263.242	460.243	595.545	200.649	161.796	165.691	333.623	104.854	3.01864e-05	0.000182913	0	nan
34.3778	78467.8	56.25	90.7008	5092.23	34136	76.566	59.3915	81.9636	41.6618	5101.92	738.158	6.31966	6.43817	9.54064	0.962532	0.278958	553.745	2361.25	0.0367687	3.83273	11.0537	0.842735	37.0369	33.018	52017.7	1554.86	0.342315	0.0400333	0.0400333	234.66	197.756	84.5936	41.5002	42.0937	42.8936	1033.23	110.862	42.7309	1033.23	104.225	42.8778	174.097	37.9904	2.58029	0	2.58029	0	9.03359	-2.68692	0	0.98902	0.0565275	4.68494	0.000665792	0.422566	0	3.45899	0	3.45899	0.00762918	0.334325	199130	68.8953	869.77	160.384	420.469	39.2659	39.2659	263.243	460.244	595.546	200.649	161.796	165.691	333.623	104.854	0.000207521	0.00125171	0	nan
35.3889	78467.8	56.25	94.6306	5093.23	34135	56.1884	56.4476	79.3077	39.5967	5322.97	738.158	6.55562	6.6255	9.54064	0.958319	0.293344	553.745	2361.25	0.0367687	3.83273	11.0537	0.842783	37.0371	33.018	18650.3	774.815	0.20449	0.0400333	0.0400333	234.727	197.824	79.471	46.4898	42.0144	42.8866	1033.23	109.771	42.8046	1033.23	103.059	42.9104	174.097	37.9904	2.57962	0	2.57962	0	4.55125	-2.29512	0	0.988805	0.161687	8.90332	0.00183572	0.875206	0	5.68108	0	5.68108	0.0235427	0.740523	198924	67.5585	1075.56	160.385	420.471	39.2661	39.2661	263.244	460.246	595.549	200.65	161.797	165.692	333.625	104.855	0.000841617	0.00515521	0	nan
